time,resistance
2026-01-16 11:44:43.365 AM,9996.778
2026-01-16 11:44:45.068 AM,9996.773
2026-01-16 11:44:46.763 AM,9996.776
2026-01-16 11:44:48.446 AM,9996.78
2026-01-16 11:44:50.146 AM,9996.782
2026-01-16 11:44:51.837 AM,9996.767
2026-01-16 11:44:53.539 AM,9996.773
2026-01-16 11:44:55.228 AM,9996.775
2026-01-16 11:44:56.928 AM,9996.776
2026-01-16 11:44:58.625 AM,9996.774
2026-01-16 11:45:00.313 AM,9996.777
2026-01-16 11:45:01.990 AM,9996.776
2026-01-16 11:45:03.686 AM,9996.774
2026-01-16 11:45:05.383 AM,9996.778
2026-01-16 11:45:07.085 AM,9996.769
2026-01-16 11:45:08.764 AM,9996.775
2026-01-16 11:45:10.461 AM,9996.778
2026-01-16 11:45:12.144 AM,9996.773
2026-01-16 11:45:13.828 AM,9996.775
2026-01-16 11:45:15.522 AM,9996.777
2026-01-16 11:45:17.221 AM,9996.775
2026-01-16 11:45:18.925 AM,9996.775
2026-01-16 11:45:20.627 AM,9996.778
2026-01-16 11:45:22.331 AM,9996.774
2026-01-16 11:45:24.028 AM,9996.775
2026-01-16 11:45:25.731 AM,9996.773
2026-01-16 11:45:27.426 AM,9996.769
2026-01-16 11:45:29.119 AM,9996.77
2026-01-16 11:45:30.825 AM,9996.769
2026-01-16 11:45:32.540 AM,9996.767
2026-01-16 11:45:34.242 AM,9996.769
2026-01-16 11:45:35.950 AM,9996.766
2026-01-16 11:45:37.627 AM,9996.77
2026-01-16 11:45:39.339 AM,9996.767
2026-01-16 11:45:41.022 AM,9996.771
2026-01-16 11:45:42.706 AM,9996.774
2026-01-16 11:45:44.382 AM,9996.769
2026-01-16 11:45:46.059 AM,9996.769
2026-01-16 11:45:47.762 AM,9996.771
2026-01-16 11:45:49.468 AM,9996.774
2026-01-16 11:45:51.168 AM,9996.766
2026-01-16 11:45:52.856 AM,9996.765
2026-01-16 11:45:54.553 AM,9996.768
2026-01-16 11:45:56.243 AM,9996.766
2026-01-16 11:45:57.939 AM,9996.771
2026-01-16 11:45:59.631 AM,9996.768
2026-01-16 11:46:01.313 AM,9996.768
2026-01-16 11:46:03.011 AM,9996.764
2026-01-16 11:46:04.696 AM,9996.769
2026-01-16 11:46:06.390 AM,9996.767
2026-01-16 11:46:08.074 AM,9996.77
2026-01-16 11:46:09.756 AM,9996.767
